word,lemma
egyéb,egyéb
túl,túl
elmúlt,elmúlt
teljesen,teljes
történt,történik
szakmai,szakmai
további,további
legnagyobb,nagy
kellene,kell
nap,nap
aztán,aztán
közös,közös
azon,az
évben,év
Magyarország,Magyarország
része,rész
lévő,lévő
egyetlen,egyetlen
kerül,kerül
elég,elég
össze,össze
kapcsolatban,kapcsolat
azokat,az
kapcsolatos,kapcsolatos
mai,mai
ezer,ezer
Tisztelt,tiszt
Péter,Péter
állami,állami
Így,így
Most,most
elő,elő
felé,felé
történő,történő
hogyan,hogyan
található,található
Csak,Csak
nemzeti,nemzeti
míg,míg
elnöke,elnök
eddig,eddig
újra,újra
négy,négy
korábban,korán
Minden,minden
hát,hát
általános,általános
szükség,szükség
bizonyos,bizonyos
valaki,valaki
világ,világ
szinte,szinte
elnök,elnök
egyébként,egyébként
kapott,kap
nemcsak,nemcsak
vele,vele
mégis,mégis
se,se
jobb,jó
utolsó,utolsó
elsősorban,elsősorban
millió,millió
bár,bár
Tehát,tehát
Isten,Isten
szabad,szabad
alá,alá
általában,általában
hosszú,hosszú
tud,tud
emberi,emberi
keresztül,keresztül
amerikai,amerikai
újabb,új
Mi,mi
később,későn
esetében,eset
város,város
József,József
mindenki,mindenki
sokkal,sokkal
Itt,itt
Budapest,Budapest
Ezek,ez
amelynek,amely
biztos,biztos
álló,álló
Országgyűlés,Országgyűlés
mintegy,mintegy
persze,persze
társadalmi,társadalmi
közötti,közötti
követően,követő
végén,vég
először,először
hazai,hazai
fél,fél
Nagy,nagy
Fidesz,Fidesz
semmi,semmi
szót,szó
bizottság,bizottság
valóban,valóban
hasonló,hasonló
ám,ám
te,te
évek,év
ellenére,ellenére
képes,képes
sikerült,sikerül
kérdés,kérdés
száma,szám
német,német
természetesen,természetes
program,program
megfelelően,meg+felelő
egyszer,egyszer
nekem,én
mondja,mond
született,születik
fő,fő
Bizottság,Bizottság
külön,külön
Ferenc,Ferenc
éve,év
korábbi,korábbi
csupán,csupán
sőt,sőt
ahhoz,az
ezeket,ez
szépen,szép
teszi,tesz
jelenleg,jelenleg
szintén,szintén
gondolom,gondol
jelenti,jelent
miniszter,miniszter
Gábor,Gábor
dolog,dolog
jobban,jól
kicsit,kicsi
többi,többi
mikor,mikor
pl.,pl.
tett,tesz
Hogy,hogy
számos,számos
sor,sor
Ezért,ezért
Úgy,úgy
meghatározott,meg+határoz
vált,válik
összes,összes
élet,élet
vagyunk,van
belső,belső
harmadik,harmadik
régi,régi
tenni,tesz
ők,ők
közben,közben
férfi,férfi
kisebb,kis
megyei,megyei
szép,szép
különösen,különösen
milliárd,milliárd
Ft,ft
jogi,jogi
magas,magas
Nemzeti,Nemzeti
jelenlegi,jelenlegi
ismét,ismét
esetleg,esetleg
készült,készül
igaz,igaz
rossz,rossz
október,október
Még,még
lehetőséget,lehetőség
azaz,azaz
pénzügyi,pénzügyi
hét,hét
Sándor,Sándor
vezető,vezető
elmondta,el+mond
helyen,hely
élő,élő
mindent,minden
rendelet,rendelet
helyzet,helyzet
cég,cég
lehetőség,lehetőség
lehetett,lehet
helyett,helyett
szervezet,szervezet
ad,ad
Hát,hát
mintha,mintha
öt,öt
György,György
of,of
tudjuk,tud
jelen,jelen
létre,lét
Mert,mert
óra,óra
munka,munka
erről,ez
MSZP,MSZP
Igen,igen
évvel,év
képest,képest
nehéz,nehéz
Zoltán,Zoltán
szociális,szociális
tette,tesz
utóbbi,utóbbi
állam,állam
országos,országos
területén,terület
Rt.,Rt.
külföldi,külföldi
Kft.,Kft.
ugyan,ugyan
tartja,tart
rövid,rövid
tagja,tag
lehetséges,lehetséges
továbbá,továbbá
években,év
the,the
végül,végül
adatok,adat
előző,előző
ELNÖK,ELNÖK
perc,perc
egészen,egészen
melyek,mely
jövő,jövő
addig,addig
vett,vesz
legjobb,jó
január,január
Amikor,amikor
vagyis,vagyis
senki,senki
gyakran,gyakran
közel,közel
Nagyon,nagyon
út,út
hiszem,hisz
párt,párt
lehetővé,lehető
idén,idén
említett,említett
tartott,tart
Szent,Szent
eredeti,eredeti
ebből,ez
ehhez,ez
tartozik,tartozik
pont,pont
továbbra,továbbra
napon,nap
nő,nő
közé,közé
II.,II.
keretében,keret
egészségügyi,egészségügyi
vezetője,vezető
körül,körül
hol,hol
venni,vesz
ugyanakkor,ugyanakkor
Tamás,Tamás
Már,már
önkormányzat,önkormányzat
jog,jog
időben,idő
Ezzel,ez
sokat,sok
legfontosabb,fontos
Dr.,Dr.
segítségével,segítség
Ma,ma
soha,soha
igazán,igazán
maradt,marad
ide,ide
figyelembe,figyelem
angol,angol
szerinti,szerinti
elé,elé
komoly,komoly
sz.,sz
Mint,mint
egy-egy,egy-egy
történik,történik
idején,idő
célja,cél
önkormányzati,önkormányzati
hat,hat
fogja,fog
pontosan,pontos
forintot,forint
szeptember,szeptember
Országos,Országos
tudják,tud
érdemes,érdemes
melyet,mely
jár,jár
Ebben,ez
kulturális,kulturális
este,este
tíz,tíz
elején,eleje
személyes,személyes
szól,szól
költségvetési,költségvetési
számú,számú
hivatalos,hivatalos
állt,áll
százalékos,százalékos
András,András
természetes,természetes
mondani,mond
tartozó,tartozó
mértékben,mérték
december,december
jött,jön
attól,az
Akkor,akkor
lenni,lesz
folyamatosan,folyamatos
személyek,személy
május,május
részben,részben
egyáltalán,egyáltalán
akar,akar
részét,rész
előre,előre
ismert,ismert
Mivel,mivel
iskola,iskola
eljárás,eljárás
fiatal,fiatal
közölte,közöl
cikk,cikk
igazi,igazi
lehetne,lesz
június,június
támogatás,támogatás
francia,francia
Ön,ön
melynek,mely
ugye,ugye
Jó,jó
működik,működik
március,március
Mv,mv
uniós,uniós
szervezetek,szervezet
végre,végre
alkalommal,alkalom
amelyben,amely
amíg,amíg
módosító,módosító
tart,tart
személy,személy
annyira,annyi
marad,marad
többet,többet
kötelező,kötelező
parlamenti,parlamenti
egyszerű,egyszerű
akinek,aki
család,család
miniszterelnök,miniszterelnök
&ldquo;,&ldquo;
Úr,úr
oldalon,oldal
oda,oda
Pál,Pál
mondjuk,mond
múlt,múlt
század,század
minél,minél
szinten,szint
külső,külső
társadalom,társadalom
amelyeket,amely
magam,maga
csoport,csoport
Ezen,ez
százalékkal,százalék
Unió,Unió
azonos,azonos
Egyesült,Egyesült
várható,várható
szeretnék,szeret
róla,róla
kevés,kevés
Bár,bár
valamit,valami
ért,ér
dr.,dr.
elleni,elleni
sokan,sokan
munkát,munka
erős,erős
egyéni,egyéni
rendelkező,rendelkező
részére,rész
érintett,érintett
Lajos,Lajos
valamilyen,valamilyen
jutott,jut
voltam,van
orosz,orosz
központi,központi
Van,van
úton,út
tudományos,tudományos
oktatási,oktatási
Amennyiben,amennyiben
valamennyi,valamennyi
alig,alig
július,július
figyelmet,figyelem
magyarországi,magyarországi
látható,látható
megy,megy
Orbán,Orbán
november,november
oka,ok
anyagi,anyagi
pár,pár
The,The
működő,működő
rendelkezik,rendelkezik
legtöbb,legtöbb
szerintem,szerintem
megjelent,megjelent
egyszerűen,egyszerű
él,él
végzett,végez
tudni,tud
hatalmas,hatalmas
tesz,tesz
Kovács,Kovács
tűnik,tűnik
azonnal,azonnal
&gt;,&gt
alapvető,alapvető
Miklós,Miklós
Imre,Imre
augusztus,augusztus
sajnos,sajnos
Jelenleg,jelenleg
adni,ad
válik,válik
érkezett,érkezik
tavaly,tavaly
választ,válasz
oldal,oldal
közösségi,közösségi
tagjai,tag
kevesebb,kevesebb
jön,jön
rendőrség,rendőrség
javaslatot,javaslat
rendkívül,rendkívül
Attila,Attila
pontos,pontos
tényleg,tényleg
ezelőtt,ezelőtt
lesznek,lesz
valószínűleg,valószínűleg
Európa,Európa
április,április
intézmény,intézmény
jelentette,jelent
súlyos,súlyos
embert,ember
Persze,persze
Na,na
szempontból,szempont
Budapesten,Budapest
előbb,előbb
tanár,tanár
hozott,hoz
Két,két
akit,aki
nekik,ők
neve,nev
információk,információ
főleg,főleg
önálló,önálló
szerepet,szerep
szerepel,szerepel
rajta,rajta
kapcsán,kapcsán
probléma,probléma
területen,terület
intézmények,intézmény
Te,te
országban,ország
budapesti,budapesti
ideje,idő
Tanács,Tanács
jut,jut
összesen,összesen
kizárólag,kizárólag
egyaránt,egyaránt
gyerekek,gyerek
családi,családi
tudta,tud
miután,miután
Mit,mi
miközben,miközben
nekünk,ők
követő,követő
feladata,feladat
százalék,százalék
megint,megint
kap,kap
történelmi,történelmi
indult,indul
Ne,ne
tudnak,tud
R.,h.
szerződés,szerződés
úgynevezett,úgynevezik
hogyha,hogyha
támogatást,támogatás
szlovák,szlovák
jellegű,jellegű
alkalmas,alkalmas
pénzt,pénz
múlva,múlva
héten,hét
semmit,semmi
További,további
EU,EU
vette,vesz
következik,következik
csapat,csapat
Miért,miért
tervezett,tervezett
Aki,aki
Kedves,kedves
román,román
polgári,polgári
ekkor,ekkor
forintos,forintos
Szabó,Szabó
Erre,ez
évre,év
egyelőre,egyelőre
föl,föl
Jézus,Jézus
révén,révén
vita,vita
igénybe,igény
Több,Több
magasabb,magas
víz,víz
utána,utána
kíván,kíván
király,király
annyi,annyi
százaléka,százalék
asszony,asszony
helyet,hely
érdekes,érdekes
szempontjából,szempont
kb.,kb
hagyományos,hagyományos
katonai,katonai
tegnap,tegnap
alakult,alakul
and,and
egymás,egymás
államtitkár,államtitkár
Kossuth,Kossuth
Aztán,aztán
amennyiben,amennyiben
február,február
közvetlenül,közvetlen
írt,ír
gyorsan,gyors
önkormányzatok,önkormányzat
Béla,Béla
leginkább,inkább
egyedül,egyedül
többször,több
egyet,egy
következtében,következtében
országgyűlési,országgyűlési
többek,több
regisztrált,regisztrál
baj,baj
kép,kép
lap,lap
kereskedelmi,kereskedelmi
egymást,egymás
nevét,név
felhasználók,felhasználó
ment,megy
mások,más
üzleti,üzleti
magyarok,magyar
szeretném,szeret
könyv,könyv
sokszor,sokszor
szereplő,szereplő
speciális,speciális
közvetlen,közvetlen
Vagy,vagy
terület,terület
es,es
belőle,belőle
mögött,mögött
Talán,talán
Természetesen,természetes
sincs,sincs
javaslat,javaslat
részéről,rész
írta,ír
száz,száz
kedves,kedves
függ,függ
reggel,reggel
azóta,azóta
állandó,állandó
műszaki,műszaki
Nincs,nincs
gyors,gyors
Krónika,Krónika
azoknak,az
tudott,tud
Olyan,olyan
Ami,ami
szerzett,szerz
jellemző,jellemző
írja,ír
szám,szám
egykori,egykori
kérdést,kérdés
kisebbségi,kisebbségi
Károly,Károly
kevésbé,kevésbé
felelős,felelős
Gyula,Gyula
lakosság,lakosság
országok,ország
gyermek,gyerm
választási,választási
civil,civil
alábbi,alábbi
abból,az
Rip,Rip
település,település
rendelkezésre,rendelkezés
annál,annál
körülmények,körülmény
napi,napi
eddigi,eddigi
Mihály,Mihály
használt,használ
nevű,nevű
tartalmazza,tartalmaz
látszik,látszik
Zsolt,Zsolt
egyetemi,egyetemi
járt,jár
folyamatos,folyamatos
formában,forma
annyit,annyi
tudok,tud
feladat,feladat
biztonsági,biztonsági
Fővárosi,Fővárosi
Új,új
személyi,személyi
utca,utca
mutatja,mutat
Ugyanakkor,ugyanakkor
film,film
Viktor,Viktor
szellemi,szellemi
Ilyen,ilyen
mondom,mond
mindkét,mindkét
katolikus,katolikus
értelmében,értelem
pénz,pénz
jövőben,jövő
Lehet,lehet
konkrét,konkrét
parlament,parlament
adja,ad
állnak,áll
látja,lát
Források,porrás
előtti,előtti
egyben,egyben
Megyei,Megyei
tekintetében,tekintet
részletes,részletes
tudunk,tud
Hírek,hírek
Minisztérium,Minisztérium
fekete,fekete
magukat,maga
megye,megye
épp,épp
tőle,tőle
bíróság,bíróság
piaci,piaci
nélküli,nélküli
legfeljebb,legfeljebb
látni,lát
Meg,meg
tekintettel,tekintet
fehér,fehér
gyerek,gyerek
napja,nap
délután,délután
egyszerre,egyszerre
adta,ad
könnyen,könnyű
in,in
mire,mire
tartani,tart
néha,néha
költségvetés,költségvetés
időszakban,időszak
feladatok,feladat
tér,tér
egységes,egységes
döntés,döntés
nyelv,nyelv
érte,ér
tartó,tartó
tartalmaz,tartalmaz
Hivatal,Hivatal
megoldás,megoldás
hónap,hónap
különleges,különleges
képviselők,képviselő
ellenzéki,ellenzéki
iránt,iránt
támogatja,támogat
jóval,jóval
helyzetben,helyzet
illeti,illet
széles,széles
otthon,otthon
származó,származó
érvényes,érvényes
lép,lép
évig,év
idei,idei
engem,én
Mária,Mária
veszi,vesz
mezőgazdasági,mezőgazdasági
Taps,Taps
iskolai,iskolai
társaság,társaság
sikeres,sikeres
mennyire,mennyire
gazdaság,gazdaság
kapcsolódó,kapcsolódó
lassan,lassú
nyugati,nyugati
beszélt,beszél
járó,járó
Ház,Ház
SZDSZ,SZDSZ
mindenképpen,mindenképpen
nők,nő
tevékenység,tevékenység
Azért,azért
akiknek,aki
oly,oly
gyakorlatilag,gyakorlati
hasonlóan,hasonló
címmel,cím
Sajnos,sajnos
ügyben,ügy
akarja,akar
fiatalok,fiatal
feltételek,feltétel
nyilván,nyilván
ház,ház
velük,vele
típusú,típusú
nyílt,nyíl
kezdve,kezdve
tulajdonképpen,tulajdonképpen
szintű,szintű
mindenkinek,mindenki
háború,háború
tisztelt,tiszt
fórum,fórum
köteles,köteles
helyes,helyes
közt,közt
vége,vég
egymással,egymás
nyolc,nyolc
körében,kör
Fórum,fórum
minket,mi
szolgáló,szolgáló
felhasználó,felhasználó
kötött,köt
vélemény,vélemény
segítséget,segítség
bármilyen,bármilyen
szocialista,szocialista
Ki,ki
semmilyen,semmilyen
határozat,határozat
modern,modern
tartják,tart
kapnak,kap
bizony,bizony
Nemzetközi,Nemzetközi
szólt,szól
szívesen,szívesen
mostani,mostani
felett,felett
ideig,idő
cél,cél
fognak,fog
bennünket,benn
Adminisztrátor,Adminisztrátor
idegen,idegen
programok,program
többen,több
játék,ját
bármely,bármely
épület,épület
női,női
néven,név
mindössze,mindössze
biztosítani,biztosít
anyag,anyag
Egyébként,egyébként
létezik,létezik
nehezen,nehéz
évente,évente
Szerintem,szerintem
kormányzati,kormányzati
Kérem,kér
képviselői,képviselő
nálunk,mi
polgármester,polgármester
gyakorlati,gyakorlati
jelentősen,jelentős
vár,vár
eltérő,eltérő
biztosan,biztos
olasz,olasz
Tóth,Tóth
termékek,termék
hely,hely
többsége,többség
előzetes,előzetes
folyamat,folyamat
vesz,vesz
adó,adó
Tibor,Tibor
életét,élet
láttam,lát
utáni,utáni
alacsony,alacsony
ettől,ez
ill.,ill
számít,számít
csökkent,csökken
legalábbis,legalábbis
adatokat,adat
díj,díj
falu,falu
időt,idő
politikus,politikus
technikai,technikai
Először,először
eszközök,eszköz
megállapodás,megállapodás
körülbelül,körülbelül
környezetvédelmi,környezetvédelmi
bekezdése,bekezdés
ennél,ez
válasz,válasz
Milyen,milyen
esett,esik
éven,év
pozitív,pozitív
cégek,cég
továbbiakban,további
közlekedési,közlekedési
mellé,mellé
ingyenes,ingyenes
folyó,folyó
szeretnénk,szeret
Ehhez,ez
tudtam,tud
lány,lány
beteg,beteg
függetlenül,független
értelemben,értel
magának,maga
könnyű,könnyű
nincsenek,nincs
végig,végig
havi,havi
készített,készített
szerepe,szerep
pályázati,pályázati
vasárnap,vasárnap
számított,számított
városi,városi
illetékes,illetékes
lehetnek,lehet
teszik,tesz
téma,téma
oktatás,oktatás
jogok,jog
vajon,vajon
vezetői,vezető
együttes,együttes
valójában,való
vizsgálat,vizsgálat
ipari,ipari
illetőleg,illetőleg
majdnem,majdnem
képesek,képes
napig,nap
jelenik,jelenik
úrnak,úr
maguk,maga
kezdett,kezd
esetleges,esetleges
törvényjavaslat,törvényjavaslat
melyik,melyik
egyértelműen,egyértelmű
várhatóan,várható
pályázat,pályázat
igazgatója,igazgató
képzés,képzés
közösen,közös
regionális,regionális
független,független
pártok,párt
haza,haza
aminek,ami
Pedig,pedig
képviselője,képviselő
elektronikus,elektronikus
csaknem,csaknem
különféle,különféle
tiszta,tiszta
nyújtott,nyújt
hamarosan,hamarosan
Sok,sok
nyújt,nyújt
fogják,fog
szolgáltatások,szolgáltatás
köszönhetően,köszönhető
Csaba,Csaba
Néhány,néhány
látom,lát
politika,politika
Köztársaság,Köztársaság
pontja,pont
szabályok,szabály
Egyetem,Egyetem
Ebből,ez
épült,épül
egyház,egyház
mondott,mond
egyedi,egyedi
nőtt,nőt
rendkívüli,rendkívüli
kapcsolatot,kapcsolat
dolgot,dolog
templom,templom
kiderült,ki+derül
Hogyan,hogyan
összeg,összeg
folyik,folyik
rendszert,rendszer
beszélni,beszél
kerültek,kerül
szakemberek,szakember
ön,ön
u.,u.
kultúra,kultúra
oldalán,oldal
verseny,verseny
elfogadott,el+fogadott
tagállamok,tagállam
embereket,ember
valódi,valódi
ráadásul,ráadás
kapta,kap
fogva,fogva
óriási,óriási
döntött,dönt
képet,kép
amire,ami
problémák,probléma
rendszeresen,rendszeres
közösség,közösség
kérdések,kérdés
lehetősége,lehetőség
mégsem,mégsem
keresztény,keresztény
tárca,tárca
viszonylag,viszonylag
ügy,ügy
téren,tér
használni,használ
köztük,közt
ugyancsak,ugyancsak
fővárosi,fővárosi
kissé,kissé
kerülnek,kerül
nép,nép
általa,általa
sikerül,sikerül
órakor,óra
brit,brit
alkalmazni,alkalmaz
darab,darab
író,író
fejlesztési,fejlesztési
nyári,nyári
készül,készül
embernek,ember
hirtelen,hirtelen
eső,eső
beszél,beszél
meghatározó,meghatározó
tartom,tart
anyagok,anyag
különös,különös
New,New
dolgok,dolog
zárt,zár
megyében,megye
elérhető,elérhető
neked,neked
nincsen,nincs
alatti,alatti
ismeretlen,ismeretlen
főváros,főváros
alól,alól
Végül,végül
élt,él
Ekkor,ekkor
hosszabb,hosszú
amelyik,amelyik
név,név
legyenek,lesz
nyelvű,nyelvű
ilyenkor,ilyenkor
Közgyűlés,Közgyűlés
lépett,lép
kialakult,kialakult
egyházi,egyházi
azután,azután
fenti,fenti
hisz,hisz
közigazgatási,közigazgatási
érintő,érintő
fizikai,fizikai
másrészt,másrészt
kiemelt,kiemelt
amint,amint
kívánja,kíván
élni,él
felső,felső
iránti,iránti
egy-két,egy-két
akkori,akkori
fenntartva,fenntartva
gyermekek,gyermek
nevében,név
hétfőn,hétfő
aktív,aktív
Ám,ám
jövőre,jövőre
MDF,MDF
közepén,közép
munkáját,munka
segíteni,segít
erősen,erős
fiú,fiú
nyert,nyer
feltétlenül,feltétlen
indul,indul
kérem,kér
nyitott,nyit
III.,III.
megjelenő,megjelenő
alapvetően,alapvető
szerződést,szerződés
jogosult,jogosul
megoldást,megoldás
dolgozott,dolgozik
termék,termék
határon,határ
elérni,el+ér
Krisztus,Krisztus
vezetett,vezet
kettő,kettő
Horváth,Horváth
mondtam,mond
tartalmazó,tartalmazó
MTI,MTI
olvasható,olvasható
dolgozik,dolgozik
hatása,hatás
legfőbb,fő
tény,tény
DR.,DR.
fogadta,fogad
testület,testület
bizottsági,bizottsági
támogatási,támogatási
véve,véve
kezdődött,kezdődik
bekezdés,bekezdés
Igaz,igaz
lelki,lelki
miként,miként
hiába,hiába
foglalt,foglalt
csoportok,csoport
Budapesti,Budapesti
érzem,érez
hangsúlyozta,hangsúlyoz
ára,ár
ún.,ún
Műsorvezető,Műsorvezető
törvényt,törvény
hős,hős
világban,világ
példa,példa
végső,végső
ahogyan,ahogyan
Nekem,neki
nyelven,nyelv
szervezett,szervezett
folyamán,folyama
kezdődik,kezdődik
zsidó,zsidó
folytatott,folytat
Elnök,Elnök
orvosi,orvosi
pénteken,pént
szerző,szerző
egyrészt,egyrészt
tetszik,tetszik
mondják,mond
vezet,vezet
p.,p.
szeretne,szeret
szavazás,szavazás
nevet,név
szolgáltatás,szolgáltatás
római,római
kérdésre,kérdés
században,század
kiváló,kiváló
időszak,időszak
összhangban,összhang
joga,joga
szöveg,szöveg
tartanak,tart
Szövetség,Szövetség
városban,város
ér,ér
rész,rész
rengeteg,rengeteg
Ott,ott
végéig,vég
db,db
programot,program
utat,út
Mikor,mikor
illetően,illető
Például,például
többnyire,többnyire
útján,útján
kaptak,kap
aránya,arány
működési,működési
információs,információs
jelzi,jelez
mást,más
Bank,Bank
intézkedések,intézkedés
látta,lát
nyomán,nyomán
elegendő,elegendő
főként,főként
Hiszen,hiszen
helye,hely
okozott,okoz
zöld,zöld
osztrák,osztrák
Németh,Németh
velem,vele
foglalkozik,foglalkozik
Balázs,Balázs
problémát,probléma
Alapítvány,Alapítvány
kapcsolat,kapcsolat
orvos,orvos
bárki,bárki
veszélyes,veszélyes
nézve,nézve
gazdag,gazdag
előírt,előírt
ezután,ezután
egészséges,egészséges
későbbi,későbbi
biztosítja,biztosít
végére,vég
szabadon,szabad
görög,görög
Európában,Európa
c.,c.
vállalat,vállalat
hallgatók,hallgató
fölött,fölött
déli,déli
szüksége,szükség
Majd,majd
napokban,nap
formájában,forma
információkat,információ
negyedik,negyedik
föld,föld
területi,területi
kezdte,kezd
Szóval,szóval
élete,élet
terén,tér
immár,immár
Külső,Külső
alkalmazott,alkalmazott
kívánt,kíván
fogalmazott,fogalmaz
vonatkozóan,vonatkozó
élnek,él
foglalkozó,foglalkozó
Állami,Állami
II,II
hatására,hatás
meglévő,meglévő
kész,kész
rendszerek,rendszer
utcai,utcai
különbség,különbség
fenn,fenn
nappal,nap
értem,ér
terv,terv
pillanatban,pillanat
életben,élet
helyzetet,helyzet
biztosított,biztosít
körben,kör
amivel,ami
gyakorlat,gyakorlat
okoz,okoz
&lt;,&lt
erkölcsi,erkölcsi
tartotta,tart
megvan,mesz
napot,nap
közelében,közel
tervek,terv
fizetni,fizet
lehetőségek,lehetőség
messze,messze
magában,maga
lehetőségét,lehetőség
Erről,ez
fele,fél
sajátos,sajátos
vonatkozik,vonatkozik
némi,némi
kivéve,kivéve
véget,vég
szabályozás,szabályozás
Pozitív,pozitív
esik,esik
életet,élet
feladatokat,feladat
dolgozni,dolgozik
Varga,Varga
kiegészítő,kiegészítő
eset,es
Kiss,Kiss
források,forrás
időre,idő
piac,piac
százalékát,százalék
dolgozó,dolgozó
környezet,környezet
helyre,hely
meleg,meleg
választások,választás
meglehetősen,meglehetős
Judit,Judit
akart,akar
hatékony,hatékony
hatóságok,hatóság
kért,kér
díjat,díj
részén,rész
méter,méter
Katalin,Katalin
húsz,húsz
komolyan,komolyan
látott,lát
Párt,Párt
kérdése,kérdés
ezeknek,ez
hozta,hoz
kívánok,kíván
érték,érték
napján,nap
együttműködés,együttműködés
hány,hány
kedden,kedd
ülésén,ülés
tekintve,tekintve
dolgokat,dolog
másfél,másfél
működését,működés
csinálni,csinál
mutat,mutat
keleti,keleti
Első,Első
irodalmi,irodalmi
szeretné,szeret
számon,szám
nemzet,nemzet
legmagasabb,nagy
kedvező,kedvező
menni,mesz
világháború,világháború
internetes,internetes
információ,információ
apró,apró
körüli,körüli
Miután,miután
kínai,kínai
eljárást,eljárás
minisztérium,minisztérium
címet,cím
kormányfő,kormányfő
legújabb,nagy
rögtön,rögtön
Forrás,Forrás
akiket,aki
Arra,az
költő,költő
kéne,kén
foglalja,foglal
öreg,öreg
diákok,diák
csökken,csökken
Intézet,Intézet
Jegyzetek,vegyzet
ír,ír
negatív,negatív
szél,szél
észre,ész
vállalkozások,vállalkozás
török,török
hivatkozások,hivatkozás
eredménye,eredmény
ugyanúgy,ugyanúgy
mielőtt,mielőtt
e-mail,e-ma
község,község
véleménye,vélemény
sokáig,sok
fia,fia
kifejezetten,kifejezett
Ahogy,ahogy
rendszeres,rendszeres
irányuló,irányuló
határozza,határoz
Más,más
törvényben,törvény
Éva,Éva
ebbe,ez
használható,használható
demokratikus,demokratikus
Erzsébet,Erzs
velünk,vele
kétszer,két
változás,változás
számomra,számára
tevékenységet,tevékenység
életében,élet
kérte,kér
hatalom,hatalom
Géza,Géza
rosszul,rosszul
kerületi,kerületi
vevő,vevő
rendben,rend
világon,világ
évet,év
mennyi,mennyi
hatóság,hatóság
hasznos,hasznos
szülők,szülő
dönt,dönt
forinttal,forint
nyelvi,nyelvi
figyelemmel,figyelem
szerepelt,szerepel
használata,használat
férfiak,férfi
egyetem,egyetem
adnak,ad
jogszabály,jogszabály
&mdash;,&mdash;
figyelmét,figyelem
hivatal,hivatal
ellenzék,ellenzék
amelyen,amely
közeli,közeli
eredmény,eredmény
biztosít,biztosít
összeget,összeg
kapcsolatok,kapcsolat
kicsi,kicsi
fordult,fordul
szegény,szegény
szerdán,szerda
Egyesület,Egyesület
döntő,döntő
döntést,döntés
informatikai,informatikai
önök,önök
tanulók,tanuló
szombaton,szombat
tavalyi,tavalyi
utoljára,utoljára
vezette,vezet
átlagos,átlagos
levő,levő
nyilvános,nyilvános
szervezeti,szervezeti
tagok,tag
kemény,kemény
természeti,természeti
ennyi,ennyi
rendelkeznek,rendelkezik
történet,történet
Általános,Általános
rám,rám
